ID,latitude,longitude
482,-34.99094,138.659217
483,-34.988622,138.656434
484,-34.997817,138.627768
485,-35.01178,138.651982
486,-35.011825,138.652114
487,-35.012628,138.655739
488,-35.012051,138.654018
489,-35.009686,138.650708
490,-35.009703,138.65277
491,-34.91307,138.725536
492,-34.910775,138.729743
493,-34.910808,138.729727
494,-34.827568,138.765443
495,-34.827319,138.766712
496,-34.827556,138.765439
497,-34.879964,138.648821
498,-34.87627,138.64817
499,-34.876594,138.648329
500,-34.882847,138.654291
501,-35.048951,138.600108
502,-35.049117,138.609313
503,-35.048416,138.610953
504,-35.049947,138.608271
505,-35.004542,138.670256
506,-35.004139,138.67087
507,-35.004144,138.670838
508,-35.002833,138.671575
509,-35.004541,138.670797
510,-35.00349,138.671238
511,-35.004063,138.672175
512,-35.010858,138.625191
513,-34.963421,138.670741
514,-34.972068,138.678492
515,-34.973127,138.679555
516,-35.004616,138.637821
517,-35.005502,138.638043
518,-35.006634,138.638562
519,-35.00594,138.641997
520,-35.005824,138.642319
521,-35.005387,138.64309
522,-35.005043,138.643726
523,-35.005022,138.644423
524,-35.004072,138.646002
525,-35.004537,138.649897
526,-35.005262,138.654743
527,-35.004458,138.658302
528,-35.004622,138.658861
529,-35.006666,138.659478
530,-35.007127,138.659515
531,-35.007325,138.659443
532,-35.007413,138.661963
533,-35.008864,138.668348
534,-35.00922,138.669502
535,-35.012433,138.656988
536,-35.011921,138.654879
537,-35.011693,138.654137
538,-35.011051,138.652897
539,-35.00973,138.652358
540,-35.009816,138.653045
541,-35.009523,138.653118
542,-35.009289,138.647799
543,-35.009542,138.637499
544,-35.001979,138.638002
545,-34.99949,138.650832
546,-35.004557,138.653987
547,-35.004611,138.654684
548,-35.004651,138.654686
549,-35.006087,138.65564
550,-35.00547,138.655757
551,-35.004837,138.655782
552,-35.004702,138.659083
553,-35.005181,138.660087
554,-35.00488,138.659693
555,-35.005445,138.660047
556,-35.006529,138.659466
557,-35.0067,138.659453
558,-35.006723,138.659443
559,-35.007056,138.65948
560,-35.051306,138.687007
561,-35.051584,138.68691
562,-35.052516,138.687889
563,-35.008824,138.668061
564,-35.008832,138.668074
565,-35.00857,138.667866
566,-35.007491,138.661998
567,-35.007453,138.659398
568,-35.007401,138.659391
569,-35.006672,138.659539
570,-35.005384,138.659725
571,-35.005426,138.659815
572,-35.004359,138.660061
573,-35.004359,138.659999
574,-35.00423,138.659954
575,-35.005568,138.658896
576,-35.005886,138.658764
577,-35.00664,138.658175
578,-35.006623,138.658175
579,-35.007022,138.658598
580,-35.008134,138.660452
581,-35.00809,138.660318
582,-35.008137,138.661454
583,-35.008745,138.663926
584,-35.008791,138.666503
585,-35.008715,138.7249
586,-35.029282,138.754314
587,-34.990876,138.676045
588,-34.991757,138.680898
589,-34.991361,138.678463
590,-34.991361,138.678463
591,-34.991383,138.681332
592,-34.975981,138.66944
593,-34.973237,138.669243
594,-34.90425,138.743453
595,-34.924984,138.66748
596,-34.998199,138.75084
597,-34.997663,138.750626
598,-34.997556,138.750702
599,-34.997613,138.750952
600,-34.997535,138.751156
601,-34.997345,138.752345
602,-34.999705,138.751511
603,-35.00593,138.753158
604,-35.007223,138.754108
605,-35.054583,138.651226
606,-34.90324,138.702614
607,-34.930922,138.675108
608,-34.930994,138.674994
609,-34.931008,138.67503
610,-35.00743,138.637321
611,-35.005974,138.641985
612,-35.007489,138.644811
613,-35.008541,138.638411
614,-35.008486,138.637409
615,-35.008479,138.637395
616,-34.951485,138.687165
617,-34.9518,138.686411
618,-34.951268,138.681889
619,-34.950117,138.680791
620,-34.948754,138.679579
621,-34.961958,138.694812
622,-34.958299,138.686684
623,-34.959906,138.686398
624,-34.959557,138.684828
625,-34.89258,138.683763
626,-34.896177,138.685471
627,-34.902176,138.686939
628,-34.897152,138.694647
629,-34.90223,138.686888
630,-34.902329,138.686852
631,-34.902324,138.686856
632,-34.895034,138.691021
633,-34.895084,138.690996
634,-35.00698,138.754016
635,-35.012647,138.765963
636,-34.989688,138.681229
637,-34.991684,138.678133
638,-34.991605,138.678162
639,-34.990923,138.676145
640,-34.923356,138.680671
641,-34.820581,138.888645
642,-34.954649,138.700337
643,-34.956833,138.697244
644,-34.957563,138.699709
645,-34.958162,138.698963
646,-34.95815,138.698122
647,-34.958141,138.698
648,-34.958083,138.697326
649,-34.957092,138.696242
650,-34.956275,138.695727
651,-34.956085,138.695487
652,-34.95601,138.695558
653,-34.955759,138.695655
654,-34.955185,138.696083
655,-34.954419,138.69777
656,-34.954513,138.698167
657,-34.954883,138.698534
658,-34.953863,138.698491
659,-34.873533,138.759296
660,-35.004603,138.637448
661,-35.00548,138.63804
662,-35.006683,138.638588
663,-35.005882,138.641898
664,-35.005791,138.642219
665,-35.005322,138.643076
666,-35.004878,138.644445
667,-35.004055,138.645911
668,-35.004475,138.649916
669,-35.005313,138.654697
670,-35.004409,138.658327
671,-35.004511,138.659041
672,-35.006561,138.659217
673,-35.00704,138.659437
674,-35.007253,138.659511
675,-35.007421,138.661929
676,-35.008877,138.668279
677,-35.009197,138.669401
678,-35.012348,138.65686
679,-35.011959,138.654914
680,-35.011653,138.654133
681,-35.011282,138.652905
682,-35.011185,138.65286
683,-35.009726,138.652386
684,-35.009709,138.653124
685,-35.00943,138.653103
686,-35.009316,138.647787
687,-35.009588,138.637458
688,-35.014042,138.656965
689,-35.014431,138.656936
690,-35.015569,138.657262
691,-35.015437,138.657433
692,-35.015338,138.657656
693,-35.014422,138.659429
694,-35.012522,138.654132
695,-34.89267,138.683493
696,-34.894123,138.685257
697,-34.894008,138.687556
698,-34.896743,138.692088
699,-34.900442,138.699357
700,-34.900411,138.699454
701,-34.90268,138.701537
702,-34.902716,138.701585
703,-34.903136,138.702571
704,-34.899841,138.698594
705,-34.899875,138.69871
706,-34.90272,138.70172
707,-34.902782,138.701737
708,-34.902773,138.701695
709,-34.903075,138.702942
710,-34.903099,138.70295
711,-34.903245,138.706104
712,-34.903266,138.706679
713,-34.903156,138.703981
714,-34.903089,138.703827
715,-34.935181,138.657973
716,-34.935047,138.657349
717,-34.935049,138.657295
718,-35.008402,138.745394
719,-34.996164,138.637574
720,-35.00599,138.63845
721,-35.006038,138.638282
722,-35.006062,138.638133
723,-34.934915,138.698354
724,-34.934279,138.69844
725,-34.934434,138.697975
726,-34.933177,138.698006
727,-34.933228,138.698108
728,-34.933267,138.698086
729,-34.932772,138.697725
730,-34.932579,138.697661
731,-34.932303,138.697679
732,-34.932261,138.69759
733,-34.929726,138.693314
734,-34.929569,138.69329
735,-35.052177,138.620349
736,-35.009393,138.689879
737,-35.008422,138.688601
738,-35.007901,138.687806
739,-35.007858,138.6876
740,-35.007819,138.687431
741,-35.007611,138.686961
742,-35.007603,138.686936
743,-35.008327,138.688872
744,-35.008348,138.689028
745,-35.008316,138.689034
746,-35.008151,138.68904
747,-35.007879,138.688495
748,-35.007834,138.688436
749,-35.006914,138.687588
750,-34.97449,138.73028
751,-34.974518,138.730152
752,-34.974553,138.730041
753,-35.025559,138.684487
754,-35.042251,138.693786
755,-35.011364,138.652975
756,-35.012061,138.655334
757,-35.012569,138.656008
758,-35.012059,138.654236
759,-35.012039,138.654206
760,-35.011789,138.651922
761,-35.009065,138.652159
762,-35.008659,138.647994
763,-35.008624,138.648023
764,-35.008638,138.647939
765,-34.968077,138.676963
766,-35.006507,138.736759
767,-35.007365,138.736566
768,-34.875139,138.698563
769,-34.87515,138.698557
770,-34.876103,138.698675
771,-34.876081,138.698834
772,-34.880522,138.704502
773,-34.875713,138.704233
774,-34.875703,138.704303
775,-34.875972,138.704002
776,-34.868235,138.716758
777,-34.874187,138.71433
778,-34.876442,138.706698
779,-35.006063,138.655514
780,-35.005652,138.655687
781,-35.00467,138.659086
782,-35.012114,138.655386
783,-35.011999,138.655137
784,-35.011662,138.654335
785,-35.01121,138.652409
786,-35.010941,138.651654
787,-35.0096,138.652646
788,-35.009273,138.65244
789,-34.827248,138.743343
790,-34.826913,138.743673
791,-34.830749,138.742391
792,-35.018176,138.596975
793,-35.008443,138.637347
794,-35.007935,138.637143
795,-35.007656,138.636814
796,-34.904395,138.693021
797,-34.981997,138.624961
798,-35.001392,138.651448
799,-35.005896,138.653803
800,-35.005971,138.653792
801,-35.006202,138.653749
802,-35.007439,138.654343
803,-35.007455,138.654356
804,-35.007612,138.65604
805,-35.007082,138.656552
806,-35.006618,138.656976
807,-35.006331,138.657107
808,-35.002984,138.657462
809,-35.002968,138.657455
810,-35.00286,138.657244
811,-35.003394,138.653468
812,-35.003394,138.653468
813,-35.00309,138.652629
814,-35.002646,138.652174
815,-34.934346,138.656281
816,-34.935257,138.657312
817,-34.935131,138.656681
818,-34.936074,138.655661
819,-34.938936,138.653508
820,-34.831972,138.743502
821,-34.830455,138.744772
822,-34.830429,138.742646
823,-34.835297,138.735468
824,-34.913407,138.669983
825,-35.052742,138.610602
826,-35.056861,138.6197
827,-35.057385,138.616572
828,-35.054914,138.617123
829,-34.833863,138.743749
830,-34.832235,138.743525
831,-34.831182,138.744129
832,-34.831145,138.743749
833,-34.831121,138.743686
834,-34.990271,138.635326
835,-34.989867,138.63639
836,-34.99009,138.635947
837,-34.990341,138.635787
838,-35.00009,138.752355
839,-34.998832,138.752985
840,-34.997745,138.752854
841,-34.999535,138.751456
842,-34.998111,138.750688
843,-34.997582,138.750891
844,-34.997604,138.750846
845,-35.011733,138.716873
846,-35.01245,138.718197
847,-35.01324,138.717566
848,-35.014465,138.71644
849,-35.012732,138.716126
850,-35.012939,138.715933
851,-35.012961,138.715943
852,-35.012961,138.715943
853,-35.011886,138.7174
854,-35.012655,138.717183
855,-35.012321,138.718501
856,-35.013029,138.717585
857,-35.013502,138.717391
858,-35.014634,138.716427
859,-35.015711,138.715904
860,-35.016109,138.71758
861,-35.027145,138.631501
862,-35.031454,138.621731
863,-34.895994,138.698898
864,-34.895746,138.698354
865,-34.895705,138.69824
866,-35.02018,138.629517
867,-34.933178,138.693399
868,-34.934052,138.6943
869,-34.936194,138.696169
870,-34.937151,138.696635
871,-34.937654,138.696785
872,-34.937675,138.696785
873,-34.93512,138.697751
874,-34.899736,138.698476
875,-34.903327,138.702618
876,-34.903204,138.702578
877,-34.903205,138.702873
878,-34.902889,138.701826
